# n_all=31921 n_agree=22689 n_disagree=9232
temp,rank,group,prob_ref,prob_target
0.3300,8,all,0.00149633,0.00049970
0.3300,8,agree,0.00055840,0.00013822
0.3300,8,disagree,0.00380142,0.00138810
0.3300,9,all,0.00108268,0.00032073
0.3300,9,agree,0.00039713,0.00008484
0.3300,9,disagree,0.00276753,0.00090045
0.3300,10,all,0.00081222,0.00021197
0.3300,10,agree,0.00029432,0.00005507
0.3300,10,disagree,0.00208504,0.00059758
0.3300,11,all,0.00063057,0.00014734
0.3300,11,agree,0.00022700,0.00003843
0.3300,11,disagree,0.00162239,0.00041502
0.3300,12,all,0.00050501,0.00010676
0.3300,12,agree,0.00017821,0.00002832
0.3300,12,disagree,0.00130816,0.00029955
0.3300,13,all,0.00041449,0.00008024
0.3300,13,agree,0.00014522,0.00002124
0.3300,13,disagree,0.00107626,0.00022524
0.3300,14,all,0.00034510,0.00006151
0.3300,14,agree,0.00011914,0.00001656
0.3300,14,disagree,0.00090044,0.00017198
0.3300,15,all,0.00028788,0.00004676
0.3300,15,agree,0.00009856,0.00001292
0.3300,15,disagree,0.00075316,0.00012993
0.3300,16,all,0.00024475,0.00003658
0.3300,16,agree,0.00008270,0.00001012
0.3300,16,disagree,0.00064299,0.00010159
0.3300,17,all,0.00020840,0.00002890
0.3300,17,agree,0.00007039,0.00000787
0.3300,17,disagree,0.00054759,0.00008060
0.3300,18,all,0.00017991,0.00002330
0.3300,18,agree,0.00006040,0.00000626
0.3300,18,disagree,0.00047363,0.00006517
0.3300,19,all,0.00015600,0.00001917
0.3300,19,agree,0.00005234,0.00000509
0.3300,19,disagree,0.00041077,0.00005377
0.3300,20,all,0.00013504,0.00001579
0.3300,20,agree,0.00004574,0.00000412
0.3300,20,disagree,0.00035451,0.00004446
0.3300,21,all,0.00011912,0.00001348
0.3300,21,agree,0.00004037,0.00000347
0.3300,21,disagree,0.00031264,0.00003807
0.3300,22,all,0.00010641,0.00001146
0.3300,22,agree,0.00003593,0.00000296
0.3300,22,disagree,0.00027963,0.00003235
0.3300,23,all,0.00009563,0.00000968
0.3300,23,agree,0.00003224,0.00000250
0.3300,23,disagree,0.00025142,0.00002731
0.3300,24,all,0.00008573,0.00000833
0.3300,24,agree,0.00002899,0.00000216
0.3300,24,disagree,0.00022518,0.00002350
0.3300,25,all,0.00007720,0.00000712
0.3300,25,agree,0.00002619,0.00000186
0.3300,25,disagree,0.00020255,0.00002006
0.3300,26,all,0.00007007,0.00000616
0.3300,26,agree,0.00002391,0.00000162
0.3300,26,disagree,0.00018351,0.00001732
0.3300,27,all,0.00006402,0.00000543
0.3300,27,agree,0.00002170,0.00000144
0.3300,27,disagree,0.00016801,0.00001523
0.3300,28,all,0.00005813,0.00000476
0.3300,28,agree,0.00001989,0.00000129
0.3300,28,disagree,0.00015211,0.00001329
0.3300,29,all,0.00005314,0.00000418
0.3300,29,agree,0.00001833,0.00000111
0.3300,29,disagree,0.00013868,0.00001172
0.3300,30,all,0.00004887,0.00000372
0.3300,30,agree,0.00001686,0.00000099
0.3300,30,disagree,0.00012752,0.00001044
0.3300,31,all,0.00004497,0.00000331
0.3300,31,agree,0.00001555,0.00000088
0.3300,31,disagree,0.00011727,0.00000931
0.3300,32,all,0.00004154,0.00000298
0.3300,32,agree,0.00001436,0.00000079
0.3300,32,disagree,0.00010833,0.00000836
0.3300,33,all,0.00003851,0.00000265
0.3300,33,agree,0.00001322,0.00000070
0.3300,33,disagree,0.00010066,0.00000743
0.3300,34,all,0.00003534,0.00000239
0.3300,34,agree,0.00001226,0.00000064
0.3300,34,disagree,0.00009207,0.00000670
0.3300,35,all,0.00003291,0.00000216
0.3300,35,agree,0.00001138,0.00000059
0.3300,35,disagree,0.00008582,0.00000603
0.3300,36,all,0.00003077,0.00000196
0.3300,36,agree,0.00001062,0.00000053
0.3300,36,disagree,0.00008028,0.00000546
0.3300,37,all,0.00002886,0.00000177
0.3300,37,agree,0.00000992,0.00000048
0.3300,37,disagree,0.00007540,0.00000495
0.3300,38,all,0.00002708,0.00000162
0.3300,38,agree,0.00000928,0.00000044
0.3300,38,disagree,0.00007083,0.00000452
0.3300,39,all,0.00002553,0.00000148
0.3300,39,agree,0.00000869,0.00000040
0.3300,39,disagree,0.00006693,0.00000413
0.3300,40,all,0.00002393,0.00000134
0.3300,40,agree,0.00000814,0.00000037
0.3300,40,disagree,0.00006273,0.00000374
0.3400,1,all,0.87001475,0.89004669
0.3400,1,agree,0.93309104,0.94429696
0.3400,1,disagree,0.71499550,0.75671865
0.3400,2,all,0.07771564,0.07726444
0.3400,2,agree,0.04499662,0.04322509
0.3400,2,disagree,0.15812743,0.16092118
0.3400,3,all,0.02295948,0.01837750
0.3400,3,agree,0.01054157,0.00765143
0.3400,3,disagree,0.05347832,0.04473841
0.3400,4,all,0.01009118,0.00675374
0.3400,4,agree,0.00416927,0.00247806
0.3400,4,disagree,0.02464515,0.01726184
0.3400,5,all,0.00547331,0.00306541
0.3400,5,agree,0.00215808,0.00102510
0.3400,5,disagree,0.01362097,0.00807978
0.3400,6,all,0.00330148,0.00161413
0.3400,6,agree,0.00126493,0.00050599
0.3400,6,disagree,0.00830663,0.00433754
0.3400,7,all,0.00215383,0.00092555
0.3400,7,agree,0.00081353,0.00028241
0.3400,7,disagree,0.00544784,0.00250618
0.3400,8,all,0.00149633,0.00055492
0.3400,8,agree,0.00055840,0.00015682
0.3400,8,disagree,0.00380142,0.00153332
0.3400,9,all,0.00108268,0.00035938
0.3400,9,agree,0.00039713,0.00009720
0.3400,9,disagree,0.00276753,0.00100371
0.3400,10,all,0.00081222,0.00023968
0.3400,10,agree,0.00029432,0.00006368
0.3400,10,disagree,0.00208504,0.00067224
0.3400,11,all,0.00063057,0.00016787
0.3400,11,agree,0.00022700,0.00004472
0.3400,11,disagree,0.00162239,0.00047053
0.3400,12,all,0.00050501,0.00012248
0.3400,12,agree,0.00017821,0.00003309
0.3400,12,disagree,0.00130816,0.00034216
0.3400,13,all,0.00041449,0.00009252
0.3400,13,agree,0.00014522,0.00002493
0.3400,13,disagree,0.00107626,0.00025865
0.3400,14,all,0.00034510,0.00007131
0.3400,14,agree,0.00011914,0.00001950
0.3400,14,disagree,0.00090044,0.00019862
0.3400,15,all,0.00028788,0.00005454
0.3400,15,agree,0.00009856,0.00001527
0.3400,15,disagree,0.00075316,0.00015105
0.3400,16,all,0.00024475,0.00004292
0.3400,16,agree,0.00008270,0.00001204
0.3400,16,disagree,0.00064299,0.00011882
0.3400,17,all,0.00020840,0.00003407
0.3400,17,agree,0.00007039,0.00000941
0.3400,17,disagree,0.00054759,0.00009469
0.3400,18,all,0.00017991,0.00002760
0.3400,18,agree,0.00006040,0.00000753
0.3400,18,disagree,0.00047363,0.00007694
0.3400,19,all,0.00015600,0.00002279
0.3400,19,agree,0.00005234,0.00000615
0.3400,19,disagree,0.00041077,0.00006370
0.3400,20,all,0.00013504,0.00001885
0.3400,20,agree,0.00004574,0.00000500
0.3400,20,disagree,0.00035451,0.00005289
0.3400,21,all,0.00011912,0.00001613
0.3400,21,agree,0.00004037,0.00000422
0.3400,21,disagree,0.00031264,0.00004541
0.3400,22,all,0.00010641,0.00001376
0.3400,22,agree,0.00003593,0.00000361
0.3400,22,disagree,0.00027963,0.00003871
0.3400,23,all,0.00009563,0.00001167
0.3400,23,agree,0.00003224,0.00000306
0.3400,23,disagree,0.00025142,0.00003284
0.3400,24,all,0.00008573,0.00001008
0.3400,24,agree,0.00002899,0.00000265
0.3400,24,disagree,0.00022518,0.00002834
0.3400,25,all,0.00007720,0.00000865
0.3400,25,agree,0.00002619,0.00000229
0.3400,25,disagree,0.00020255,0.00002427
0.3400,26,all,0.00007007,0.00000750
0.3400,26,agree,0.00002391,0.00000199
0.3400,26,disagree,0.00018351,0.00002103
0.3400,27,all,0.00006402,0.00000663
0.3400,27,agree,0.00002170,0.00000178
0.3400,27,disagree,0.00016801,0.00001854
0.3400,28,all,0.00005813,0.00000583
0.3400,28,agree,0.00001989,0.00000159
0.3400,28,disagree,0.00015211,0.00001624
0.3400,29,all,0.00005314,0.00000513
0.3400,29,agree,0.00001833,0.00000138
0.3400,29,disagree,0.00013868,0.00001435
0.3400,30,all,0.00004887,0.00000458
0.3400,30,agree,0.00001686,0.00000123
0.3400,30,disagree,0.00012752,0.00001281
0.3400,31,all,0.00004497,0.00000409
0.3400,31,agree,0.00001555,0.00000109
0.3400,31,disagree,0.00011727,0.00001145
0.3400,32,all,0.00004154,0.00000368
0.3400,32,agree,0.00001436,0.00000098
0.3400,32,disagree,0.00010833,0.00001030
0.3400,33,all,0.00003851,0.00000328
0.3400,33,agree,0.00001322,0.00000087
0.3400,33,disagree,0.00010066,0.00000920
0.3400,34,all,0.00003534,0.00000297
0.3400,34,agree,0.00001226,0.00000080
0.3400,34,disagree,0.00009207,0.00000831
0.3400,35,all,0.00003291,0.00000269
0.3400,35,agree,0.00001138,0.00000074
0.3400,35,disagree,0.00008582,0.00000750
0.3400,36,all,0.00003077,0.00000244
0.3400,36,agree,0.00001062,0.00000067
0.3400,36,disagree,0.00008028,0.00000680
0.3400,37,all,0.00002886,0.00000222
0.3400,37,agree,0.00000992,0.00000060
0.3400,37,disagree,0.00007540,0.00000618
0.3400,38,all,0.00002708,0.00000203
0.3400,38,agree,0.00000928,0.00000055
0.3400,38,disagree,0.00007083,0.00000565
0.3400,39,all,0.00002553,0.00000186
0.3400,39,agree,0.00000869,0.00000050
0.3400,39,disagree,0.00006693,0.00000517
0.3400,40,all,0.00002393,0.00000169
0.3400,40,agree,0.00000814,0.00000047
0.3400,40,disagree,0.00006273,0.00000470
0.3500,1,all,0.87001475,0.88675465
0.3500,1,agree,0.93309104,0.94230185
0.3500,1,disagree,0.71499550,0.75023922
0.3500,2,all,0.07771564,0.07877341
0.3500,2,agree,0.04499662,0.04439679
0.3500,2,disagree,0.15812743,0.16325902
0.3500,3,all,0.02295948,0.01909363
0.3500,3,agree,0.01054157,0.00804753
0.3500,3,disagree,0.05347832,0.04624103
0.3500,4,all,0.01009118,0.00712847
0.3500,4,agree,0.00416927,0.00265120
0.3500,4,disagree,0.02464515,0.01813203
0.3500,5,all,0.00547331,0.00327986
0.3500,5,agree,0.00215808,0.00111381
0.3500,5,disagree,0.01362097,0.00860326
0.3500,6,all,0.00330148,0.00174564
0.3500,6,agree,0.00126493,0.00055677
0.3500,6,disagree,0.00830663,0.00466747
0.3500,7,all,0.00215383,0.00101225
0.3500,7,agree,0.00081353,0.00031430
0.3500,7,disagree,0.00544784,0.00272758
0.3500,8,all,0.00149633,0.00061352
0.3500,8,agree,0.00055840,0.00017702
0.3500,8,disagree,0.00380142,0.00168628
0.3500,9,all,0.00108268,0.00040074
0.3500,9,agree,0.00039713,0.00011076
0.3500,9,disagree,0.00276753,0.00111342
0.3500,10,all,0.00081222,0.00026959
0.3500,10,agree,0.00029432,0.00007321
0.3500,10,disagree,0.00208504,0.00075223
0.3500,11,all,0.00063057,0.00019018
0.3500,11,agree,0.00022700,0.00005173
0.3500,11,disagree,0.00162239,0.00053045
0.3500,12,all,0.00050501,0.00013966
0.3500,12,agree,0.00017821,0.00003843
0.3500,12,disagree,0.00130816,0.00038846
0.3500,13,all,0.00041449,0.00010602
0.3500,13,agree,0.00014522,0.00002907
0.3500,13,disagree,0.00107626,0.00029514
0.3500,14,all,0.00034510,0.00008213
0.3500,14,agree,0.00011914,0.00002283
0.3500,14,disagree,0.00090044,0.00022790
0.3500,15,all,0.00028788,0.00006319
0.3500,15,agree,0.00009856,0.00001794
0.3500,15,disagree,0.00075316,0.00017440
0.3500,16,all,0.00024475,0.00005000
0.3500,16,agree,0.00008270,0.00001421
0.3500,16,disagree,0.00064299,0.00013796
0.3500,17,all,0.00020840,0.00003988
0.3500,17,agree,0.00007039,0.00001117
0.3500,17,disagree,0.00054759,0.00011042
0.3500,18,all,0.00017991,0.00003245
0.3500,18,agree,0.00006040,0.00000898
0.3500,18,disagree,0.00047363,0.00009013
0.3500,19,all,0.00015600,0.00002689
0.3500,19,agree,0.00005234,0.00000736
0.3500,19,disagree,0.00041077,0.00007487
0.3500,20,all,0.00013504,0.00002233
0.3500,20,agree,0.00004574,0.00000601
0.3500,20,disagree,0.00035451,0.00006241
0.3500,21,all,0.00011912,0.00001916
0.3500,21,agree,0.00004037,0.00000510
0.3500,21,disagree,0.00031264,0.00005372
0.3500,22,all,0.00010641,0.00001639
0.3500,22,agree,0.00003593,0.00000436
0.3500,22,disagree,0.00027963,0.00004596
0.3500,23,all,0.00009563,0.00001397
0.3500,23,agree,0.00003224,0.00000372
0.3500,23,disagree,0.00025142,0.00003916
0.3500,24,all,0.00008573,0.00001209
0.3500,24,agree,0.00002899,0.00000323
0.3500,24,disagree,0.00022518,0.00003387
0.3500,25,all,0.00007720,0.00001040
0.3500,25,agree,0.00002619,0.00000279
0.3500,25,disagree,0.00020255,0.00002912
0.3500,26,all,0.00007007,0.00000905
0.3500,26,agree,0.00002391,0.00000244
0.3500,26,disagree,0.00018351,0.00002531
0.3500,27,all,0.00006402,0.00000802
0.3500,27,agree,0.00002170,0.00000218
0.3500,27,disagree,0.00016801,0.00002236
0.3500,28,all,0.00005813,0.00000707
0.3500,28,agree,0.00001989,0.00000195
0.3500,28,disagree,0.00015211,0.00001965
0.3500,29,all,0.00005314,0.00000624
0.3500,29,agree,0.00001833,0.00000169
0.3500,29,disagree,0.00013868,0.00001741
0.3500,30,all,0.00004887,0.00000558
0.3500,30,agree,0.00001686,0.00000151
0.3500,30,disagree,0.00012752,0.00001557
0.3500,31,all,0.00004497,0.00000500
0.3500,31,agree,0.00001555,0.00000135
0.3500,31,disagree,0.00011727,0.00001396
0.3500,32,all,0.00004154,0.00000451
0.3500,32,agree,0.00001436,0.00000122
0.3500,32,disagree,0.00010833,0.00001258
0.3500,33,all,0.00003851,0.00000403
0.3500,33,agree,0.00001322,0.00000108
0.3500,33,disagree,0.00010066,0.00001126
0.3500,34,all,0.00003534,0.00000366
0.3500,34,agree,0.00001226,0.00000100
0.3500,34,disagree,0.00009207,0.00001020
0.3500,35,all,0.00003291,0.00000332
0.3500,35,agree,0.00001138,0.00000091
0.3500,35,disagree,0.00008582,0.00000922
0.3500,36,all,0.00003077,0.00000302
0.3500,36,agree,0.00001062,0.00000083
0.3500,36,disagree,0.00008028,0.00000839
0.3500,37,all,0.00002886,0.00000274
0.3500,37,agree,0.00000992,0.00000075
0.3500,37,disagree,0.00007540,0.00000764
0.3500,38,all,0.00002708,0.00000251
0.3500,38,agree,0.00000928,0.00000069
0.3500,38,disagree,0.00007083,0.00000699
0.3500,39,all,0.00002553,0.00000230
0.3500,39,agree,0.00000869,0.00000063
0.3500,39,disagree,0.00006693,0.00000641
0.3500,40,all,0.00002393,0.00000210
0.3500,40,agree,0.00000814,0.00000059
0.3500,40,disagree,0.00006273,0.00000584
0.3600,1,all,0.87001475,0.88345667
0.3600,1,agree,0.93309104,0.94028402
0.3600,1,disagree,0.71499550,0.74379510
0.3600,2,all,0.07771564,0.08024791
0.3600,2,agree,0.04499662,0.04556068
0.3600,2,disagree,0.15812743,0.16549691
0.3600,3,all,0.02295948,0.01980786
0.3600,3,agree,0.01054157,0.00844986
0.3600,3,disagree,0.05347832,0.04772181
0.3600,4,all,0.01009118,0.00750787
0.3600,4,agree,0.00416927,0.00283000
0.3600,4,disagree,0.02464515,0.01900444
0.3600,5,all,0.00547331,0.00349978
0.3600,5,agree,0.00215808,0.00120673
0.3600,5,disagree,0.01362097,0.00913529
0.3600,6,all,0.00330148,0.00188198
0.3600,6,agree,0.00126493,0.00061058
0.3600,6,disagree,0.00830663,0.00500663
0.3600,7,all,0.00215383,0.00110302
0.3600,7,agree,0.00081353,0.00034839
0.3600,7,disagree,0.00544784,0.00295763
0.3600,8,all,0.00149633,0.00067548
0.3600,8,agree,0.00055840,0.00019886
0.3600,8,disagree,0.00380142,0.00184685
0.3600,9,all,0.00108268,0.00044483
0.3600,9,agree,0.00039713,0.00012555
0.3600,9,disagree,0.00276753,0.00122951
0.3600,10,all,0.00081222,0.00030173
0.3600,10,agree,0.00029432,0.00008370
0.3600,10,disagree,0.00208504,0.00083758
0.3600,11,all,0.00063057,0.00021432
0.3600,11,agree,0.00022700,0.00005949
